crioulo,phono,phono_TRSV,phono_CV
Burcê,buɾseː,TVR.SV,CVC.CV
burçá,buɾsaː,TVR.SV,CVC.CV
Burdade,buɾdade,TVR.TV.TV,CVC.CV.CV
Búru,buːɾu,TV.RV,CV.CV
Busca,buska,TVS.TV,CVC.CV
Caba,kaba,TV.TV,CV.CV
cava,kaʋa,TV.TV,CV.CV
Cabai,kabai,TV.TVV,CV.CVV
cabaya,kabaja,TV.TV.RV,CV.CV.CV
cuobai,kuobai,TVV.TVV,CVV.CVV
Cabeça,kabesa,TV.TV.SV,CV.CV.CV
cabeçé,kabeseː,TV.TV.SV,CV.CV.CV
Cabelho,kabeʎo,TV.TV.RV,CV.CV.CV
Cabrado,kabɾado,TV.TRV.TV,CV.CCV.CV
Caçaria,kasaɾia,TV.SV.RVV,CV.CV.CVV
Cacada,kakada,TV.TV.TV,CV.CV.CV
Cacho,kat̠ʃo,TV.TV,CV.CV
Cachór,kat̠ʃoːɾ,TV.TVR,CV.CVC
Cachorinho,kat̠ʃoɾiɲo,TV.TV.RVRV,CV.CV.CVCV
Cadahora,kadaoɾa,TV.TVV.RV,CV.CVV.CV
cadora,kadoɾa,TV.TV.RV,CV.CV.CV
cadhor,kadoɾ,TV.TVR,CV.CVC
Cadhum,kadum,TV.TVR,CV.CVC
Cadè,kadeː,TV.TV,CV.CV
Cadéra,kadeːɾa,TV.TV.RV,CV.CV.CV
Cadia,kadia,TV.TVV,CV.CVV
Caflà,kaflaː,TV.TRV,CV.CCV
Caflação,kaflasaːo,TV.TRV.SVV,CV.CCV.CVV
Cafrana,kafɾana,TV.TRV.RV,CV.CCV.CV
Cahidas-per-traz,kaidaspeɾtɾas,TVV.TVS.TVR.TRVS,CVV.CVC.CVC.CCVC
Caix,kaiʃ,TVV.T,CVV.C
Calão,kalaːo,TV.RVV,CV.CVV
Càlis,kaːlis,TV.RVS,CV.CVC
Calmo,kalmo,TVRRV,CVCCV
Calquinha,kalkiɲa,TVR.TV.RV,CVC.CV.CV
Calsão,kalsaːo,TVR.SVV,CVC.CVV
Calvàri,kalʋaːɾi,TVR.TV.RV,CVC.CV.CV
Cambiador,kambiadoɾ,TVR.TVV.TVR,CVC.CVV.CVC
Cambra,kambɾa,TVR.TRV,CVC.CCV
cambrè,kambɾeː,TVR.TRV,CVC.CCV
càmber,kaːmbeɾ,TVR.TVR,CVC.CVC
Cambrão,kambɾaːo,TVR.TRVV,CVC.CCVV
Cam'rado,kamɾado,TVRRV.TV,CVCCV.CV
cambrado,kambɾado,TVR.TRV.TV,CVC.CCV.CV
Campal,kampal,TVR.TVR,CVC.CVC
Can',kan,TVR,CVC
candè,kandeː,TVR.TV,CVC.CV
Canàlhi,kanaːʎi,TV.RVRV,CV.CVCV
Cançàs,kansaːs,TVR.SVS,CVC.CVC
Câncer,kaːnseɾ,TVR.SVR,CVC.CVC
Candecera,kandeseɾa,TVR.TV.SV.RV,CVC.CV.CV.CV
can'cera,kanseɾa,TVR.SV.RV,CVC.CV.CV
Candelàr,kandelaːɾ,TVR.TV.RVR,CVC.CV.CVC
candelér,kandeleːɾ,TVR.TV.RVR,CVC.CV.CVC
Cândia,kaːndia,TVR.TVV,CVC.CVV
Canto,kanto,TVR.TV,CVC.CV
Kep,kep,TV.T,CV.C
Capas,kapas,TV.TVS,CV.CVC
Capitel,kapitel,TV.TV.TVR,CV.CV.CVC
Captão,kaptaːo,TV.TTVV,CV.CCVV
capitano,kapitano,TV.TV.TV.RV,CV.CV.CV.CV
Caravão,kaɾaʋaːo,TV.RV.TVV,CV.CV.CVV
Careiro,kaɾeiɾo,TV.RVV.RV,CV.CVV.CV
cararo,kaɾaɾo,TV.RVRV,CV.CVCV
Cargá,kaɾgaː,TVR.TV,CVC.CV
Cargação,kaɾgasaːo,TVR.TV.SVV,CVC.CV.CVV
Cari,kaɾi,TV.RV,CV.CV
Caria,kaɾia,TV.RVV,CV.CVV
Caridavel,kaɾidaʋel,TV.RV.TV.TVR,CV.CV.CV.CVC
Caringuejo,kaɾind̠ʒed̠ʒo,TV.RVR.TVV.TV,CV.CVC.CVV.CV
Caristia,kaɾistia,TV.RVS.TVV,CV.CVC.CVV
caristi,kaɾisti,TV.RVS.TV,CV.CVC.CV
carrestia,karestia,TV.RVS.TVV,CV.CVC.CVV
Carrete,karete,TV.RV.TV,CV.CV.CV
careta,kaɾeta,TV.RV.TV,CV.CV.CV
caretè,kaɾeteː,TV.RV.TV,CV.CV.CV
Carro,karo,TV.RV,CV.CV
Cartá,kaɾtaː,TVR.TV,CVC.CV
Carta-mesa,kaɾtameza,TVR.TV.RV.SV,CVC.CV.CV.CV
Cartè,kaɾteː,TVR.TV,CVC.CV
Casa-lugária,kazalugaːɾia,TV.SV.RV.TV.RVV,CV.CV.CV.CV.CVV
Casa-porta,kazapoɾta,TV.SV.TVR.TV,CV.CV.CVC.CV
Casião,kaziaːo,TV.SVVV,CV.CVVV
Cassa,kasa,TVSSV,CVCCV
Cassão,kasaːo,TVSSVV,CVCCVV
Castella,kastela,TVS.TVRRV,CVC.CVCCV
castellé,kasteleː,TVS.TVRRV,CVC.CVCCV
Castigação,kastigasaːo,TVS.TV.TV.SVV,CVC.CV.CV.CVV
Cativeira,katiʋeiɾa,TV.TV.TVV.RV,CV.CV.CVV.CV
Catividade,katiʋidade,TV.TV.TV.TV.TV,CV.CV.CV.CV.CV
Catàrr,kataːr,TV.TVR,CV.CVC
Causo,kauzo,TVV.SV,CVV.CV
Cavador,kaʋadoɾ,TV.TV.TVR,CV.CV.CVC
Cavalheria,kaʋaʎeɾia,TV.TV.RVRVV,CV.CV.CVCVV
Cavente,kaʋente,TV.TVR.TV,CV.CVC.CV
Cavelyéro,kaʋeljeːɾo,TV.TVRRV.RV,CV.CVCCV.CV
Cavelo,kaʋelo,TV.TV.RV,CV.CV.CV
Caverno,kaʋeɾno,TV.TVRRV,CV.CVCCV
Caxa,kaʃa,TV.TV,CV.CV
Cendê,sendeː,SVR.TV,CVC.CV
Cento,sento,SVR.TV,CVC.CV
centa,senta,SVR.TV,CVC.CV
Cents,sents,SVR.TS,CVC.CC
Ceremonio,seɾemonio,SV.RVRV.RVV,CV.CVCV.CVV
Certeza,seɾteza,SVR.TV.TV,CVC.CV.CV
certézè,seɾteːzeː,SVR.TV.TV,CVC.CV.CV
Chabuco,t̠ʃabuko,TV.TV.TV,CV.CV.CV
chabuca,t̠ʃabuka,TV.TV.TV,CV.CV.CV
Chalo,t̠ʃalo,TV.RV,CV.CV
Chan,t̠ʃan,TVR,CVC
Chap,t̠ʃap,TV.T,CV.C
Chápè,t̠ʃaːpeː,TV.TV,CV.CV
Chape,t̠ʃape,TV.TV,CV.CV
Chart,t̠ʃaɾt,TVR.T,CVC.C
Chela,t̠ʃela,TV.RV,CV.CV
Chéo,t̠ʃeːo,TVV,CVV
Chéro,t̠ʃeːɾo,TV.RV,CV.CV
chiero,t̠ʃieɾo,TVV.RV,CVV.CV
chiesto,t̠ʃiesto,TVVS.TV,CVVC.CV
chisto,t̠ʃisto,TVS.TV,CVC.CV
Chisto,t̠ʃisto,TVS.TV,CVC.CV
Chiado,t̠ʃiado,TVV.TV,CVV.CV
Cheadice,t̠ʃeadise,TVV.TV.SV,CVV.CV.CV
chediça,t̠ʃedisa,TV.TV.SV,CV.CV.CV
chidiça,t̠ʃidisa,TV.TV.SV,CV.CV.CV
chidice,t̠ʃidise,TV.TV.SV,CV.CV.CV
Chedice-lingua,t̠ʃediselingua,TV.TV.SV.RVR.TVV,CV.CV.CV.CVC.CVV
China-patàz,t̠ʃinapataːs,TV.RV.TV.TVS,CV.CV.CV.CVC
Chinglà,t̠ʃinglaː,TVR.TRV,CVC.CCV
Chipi,t̠ʃipi,TV.TV,CV.CV
Chita,t̠ʃita,TV.TV,CV.CV
Chocarréa,t̠ʃokareːa,TV.TV.RVV,CV.CV.CVV
choqueria,t̠ʃokeɾia,TV.TV.RVV,CV.CV.CVV
